,human,zen,source
108,I know I have NF and don’t want to know any more. I’m only here because my mother made me come.,"If it were entirely up to you, you’d prefer not to know more details about your genetics.",University of Michigan Pair Dataset (HQ1)
109,"I know he has Down syndrome, but I know he’ll catch up if we just work with him.",You’re really hopeful that with enough attention and support your son will be able to overcoming any challenges he faces.,University of Michigan Pair Dataset (HQ1)
110,Parent of an 18 month old with diagnosis of Down syndrome. “I just want a referral to a physical therapist so that I can fix the problem.,"With the right doctors and support team, you think you might be able to change your son’s diagnosis. ",University of Michigan Pair Dataset (HQ1)
111,"My mother died of breast cancer, so I know I’m going to die of it too.",Your mother’s death was devastating. You’re worried you may die the same way she did.,University of Michigan Pair Dataset (HQ1)
112,"Everyone has some abnormal genes, I’m probably not at any more risk than anyone else.",You don’t really see the purpose of genetic testing. You’re not convinced it’ll provide you with any helpful information.,University of Michigan Pair Dataset (HQ1)
113,"I get so sick of trying to get my meds. I go to the pharmacy and they say I can’t get them because I am over my 6 limit but to come back. Then I go back and then I have to wait and wait. Then the next week it’s the same thing. It’s ridiculous, if he wants me to take them then he better make sure that I can get them. Besides, I heard that it’s ok if you miss your meds sometimes, that your body stores them up for you.”","You are furious that you can’t reliably get your meds at the pharmacy. You would like to take your medications, but it is too frustrating when you can’t get your refills.",University of Michigan Pair Dataset (HQ1)
114,"These meds aren’t helping me.  I don’t feel any different.  I thought these were supposed to help me feel better. I try to remember to take them everyday, but I don’t feel them working. What’s the point in swallowing those pills if they don’t work?","So, feeling better is important to you and you are wondering why you keep taking the meds when you can't tell that they're working.",University of Michigan Pair Dataset (HQ1)
115,"I stopped using that Advair, ( or other controller medication) it tastes bad and leaves a bad taste in my mouth.","It is difficult for you to take the medications when they don’t agree with you. So, if a different medication tasted better, you might be able to take it.",University of Michigan Pair Dataset (HQ1)
116,"I stopped using that Advair, ( or other controller medication) it tastes bad and leaves a bad taste in my mouth, besides I got that other puffer, I heard that you can take that one as much as want, right?","It is difficult for you to take the medications when they don’t agree with you. So, if a different medication tasted better, you might be able to take it.",University of Michigan Pair Dataset (HQ1)
117,"Look, I have a bad back and Tylenol don’t help.  I don’t know why my PCP won’t keep prescribing me the Oxy.  He doesn’t understand my pain.  I would like to see him deal with this pain all of the time.  So I go to the ER to get what I need.  Yeah, sometimes I have to go to different ERs to get pain pills – so what?",You feel drained having to deal with chronic back pain all of the time. You would just like to be without pain. You are furious that you have to go to such lengths to get medicine to help with your pain.,University of Michigan Pair Dataset (HQ1)
118,"The damn pharmacists won’t fill my vicodin because I am on Suboxone. Who is she to question what the doctor prescribes. I am not an addict, you know.  I have never bought any of these pills on the street. I don’t have a problem except I am in pain and tylenol just doesn’t cut it.",You are angry with the pharmacy for not filling your prescription. You feel exhausted by your pain and just want some relief.,University of Michigan Pair Dataset (HQ1)
119,I go to the emergency room because the doctor refuses to give me more Dilaudid.  She prescribes it only twice a day and it’s not helping me. She is telling me to drink 6-8 glasses of water every day as if that’ll take away the pain in my back and lower legs. He doesn’t know what people with Sickle go through.  I need relief.,"You feel like the doctor isn't taking you seriously. You're complaining about debilitating pain and it feels like you're being ignored, especially when you're told to just drink water. ",University of Michigan Pair Dataset (HQ1)
120,"I try to see my PCP, I call and call and call. I leave messages and they don’t get back to me. That’s why I go to the emergency room, at least I know that they care how I feel.","You would really rather go to your PCP than the ER. If they were more responsive to you, you'd make and stick to your appointments. ",University of Michigan Pair Dataset (HQ1)
121,"I never thought I would get cancer. My family gets heart attacks, diabetes, emphysema…but not cancer.  I can’t believe this is happening to me. It’s a nightmare.",You are shocked that you got cancer. This has really turned your world upside down.,University of Michigan Pair Dataset (HQ1)
122,"What’s the point of getting screened. If it’s your time, it’s your time. When God wants to call you, he calls you.",You have a strong relationship with God and you're not going to question the decision that he makes about your health.,University of Michigan Pair Dataset (HQ1)
123,It sounds weird but my husband thinks he can “catch” my cancer if we sleep together. He’s such a superstitious fool.,You are upset that your husband has turned away from you during this difficult time. You could really use the physical contact as a form of support but it feels like he's abandoned you.,University of Michigan Pair Dataset (HQ1)
124,"I watch what I eat, never eat sugar, watch my carbs. I don’t understand why my values are so high. I’m bummed, all that effort and look what I have to show for it.",You are disappointed and surprised your blood values were not better. You have put a lot of effort into eating right. This feels unfair.,University of Michigan Pair Dataset (HQ1)
125,"Dialysis terrifies me. I cannot deal with the needles, the blood, the constant worrying about my fluid intake.  I always hoped I could control this without dialysis.",This feels like a worst case situation for you.,University of Michigan Pair Dataset (HQ1)
126,"I am scared to death of starting insulin. I cannot deal with the needles, the blood, the constant worrying about my sugar. I always hoped I could control this without insulin",Insulin is something you have dreaded taking. It means that it is not going away. You are sad that you have not been able to beat this without starting on insulin.,University of Michigan Pair Dataset (HQ1)
127,"I simply forget. It’s not that I don’t want to take my metformin, it just slips my mind in the morning when I am in a rush.",You are willing to take your pills but you just need a way to remind yourself when to take them,University of Michigan Pair Dataset (HQ1)
128,"I get tired of checking my sugars all the time, makes  my fingers too sore. I know that I should but it hurts too much. My neighbor told me that she only checks her sugar every Monday and that tells her how she should eat for the whole week, is that true?","Checking your blood sugars is important to you, but it is difficult to check as often as you are supposed to because of the discomfort. ",University of Michigan Pair Dataset (HQ1)
129,"Shoot, my LDL is 150….no way…I take those pills every day….maybe I have gained some weight lately but come on !","You have been diligent taking your medication and are disappointed that your LDL is not lower, you are making a lot of effort.",University of Michigan Pair Dataset (HQ1)
130,"I know I need to lose weight. I have high blood pressure and diabetes, but I just can't seem to get started. Every day I say to myself, 'tomorrow I’ll  start a diet"". But somehow I never quite get going.","You want to do something about it, but are looking for something to jumpstart you. ",University of Michigan Pair Dataset (HQ1)
131,"I tried cutting back on salt, everything tasted nasty, you ever tried eating without salt? You can’t do it, so I just use that Grill Masters stuff, it’s not like that regular table salt that you can’t eat, right? My wife says to use that instead.",Eating healthy is important to you but you find it hard because you find a lot of food doesn’t have much flavor. You've started putting effort into finding salt substitutes and have had some sucess using Grill Masters.,University of Michigan Pair Dataset (HQ1)
132,"No,  I don’t use table salt. I use Tony Chacherie’s, that’s a lot better than salt, don’t you think so?","You are really interested in making healthy choices. If it's ok with you, I can share some information that may be a bit different than what you've heard. ",University of Michigan Pair Dataset (HQ1)
133,"Well, how am I supposed to cook red beans and rice if  I can’t use sausage because of salt?","You love red beans and rice and don't want to give up your favorite foods. If you could find a way to cook your favorite receipe without as much sodium, you might be willing to give it a try.",University of Michigan Pair Dataset (HQ1)
134,"Oh Honey, I don’t drink water at all!  My son tells me that Gatorade and PowerAde are a lot better for me, he gets me the kind without the sugar.",You've started putting effort into finding some healthy swaps for pop and juice. You've had some success with zero sugar Powerade,University of Michigan Pair Dataset (HQ1)
135,Sometimes I get so angry at her I just hit out. She doesn’t push back so it never gets serious. I’m lucky I guess.  She knows she’s in the wrong.,It makes sense to you to use physical force to keep your girlfriend in line. You might be more concerned about it if she retaliated but since it never gets that serious it’s not that big of a deal.,University of Michigan Pair Dataset (HQ1)
136,I saw another text on my boyfriend’s phone from his ex. That b***ch….  I know she still wants to hook up with him. So things got heated. He promised me he cut her off.  Liar.,Reading that message on your boyfriend’s phone brought up all kinds of negative feelings for you.,University of Michigan Pair Dataset (HQ1)
137,I never get into fights at school. I know better. They will expel me again. But after school there have been times I have got into it with this girl I hate.,"You’re committed to staying in school and don’t want to be expelled again, but there is one girl who’s gotten under your skin.",University of Michigan Pair Dataset (HQ1)
138,"This girl was running her mouth, saying all these things about me that weren’t true. I had to shut her up or everyone would think they could talk trash about me. You have to make sure people know she is full of s**t.",You were forced into a situation you didn’t necessary want to be in but you had to prove to everyone that you could stand up for yourself.,University of Michigan Pair Dataset (HQ1)
139,"I don’t fight anymore. I’ve grown up. It’s not worth it to me anymore, I’m trying to go to college. I’m tired of getting into trouble.  Today though, this idiot was running his mouth about my sister and I couldn’t stop myself.  I had to step up. It was stupid, but she is my sister.  He called her the “h” word.","While you pride yourself in getting ready for college and putting the drama behind you, some things, like your sister, are worth getting into it over.",University of Michigan Pair Dataset (HQ1)
140,You have to carry a knife or some protection when you live in a neighborhood like mine. What if sh*t starts to go down.  I don’t want to be the one without something.  The part of Flint where I hang ain’t Ann Arbor.,You’re really concerned for your safety and you’re willing to do whatever it takes to make sure that you can protect yourself.,University of Michigan Pair Dataset (HQ1)
141,"I can’t believe that I’m the one in here. I’m not the bully. Not like my other friends, they’re rough; they’re much worse than me. This isn’t fair.  I just like to make jokes.  I am a comedian.",You think you’re being treated unfairly and that someone else is responsible for causing the problem.,University of Michigan Pair Dataset (HQ1)
142,Other kids think I’m tough. They won’t mess with me either. Dad said not to put up with any s**t and stand up for yourself. He knows what he’s talking about.   Nobody would ever mess with me.  I would whoop their a**.,You want to prove to your dad that you’re a force to be reckoned with.,University of Michigan Pair Dataset (HQ1)
143,"I don’t do it all the time, I only do it when she makes me mad when, like when she shows off to other boys.   Then I have to put the Sheila in her place.","You’re usually able to keep a level head when it comes to your girlfriend, but you have learned that you do have a breaking point.",University of Michigan Pair Dataset (HQ1)
144,"These things happened to me for all of year six and seven and no-one did anything. How come now I’m getting into trouble now for doing the same thing they did to me? Because I’m new here, I’m just showing them they can’t mess with me. Once everyone knows I’m not a loser I’ll be right. It ain’t fair. Nobody helped me out in my old school.",It feels unfair that you have different consequences than the kids at your previous school. No one had your back when you were being treated poorly.,University of Michigan Pair Dataset (HQ1)
145,"What do you mean I’m responsible? I don’t get that it’s my fault that other people forwarded the photo. I did it to be funny. She shouldn’t have had so much to drink and passed out at the party anyway. She was asking for it. I didn’t forward to everyone, just David and maybe one other guy. Plus, she is always showing off her body anyway.  She is an exhibitionist. It is David’s fault.",You don’t feel any regret or remorse that the photo was forwarded without her consent. Because of her reputation it feels she kind of deserved it.,University of Michigan Pair Dataset (HQ1)
146,"I took the photo and posted on the blog, everyone made comments about how weird she looked.  That hairdo was crazy; and those shorts. That’s not bullying when everyone else makes the comments right? It was meant to be funny. She didn’t get it, it was funny. It’s not my fault she took it so personally. I didn’t know that she would get so upset.   Why is everyone so sensitive all the time.",Having an unflattering photo posted on social media doesn’t feel like bullying to you.,University of Michigan Pair Dataset (HQ1)
147,What’s the big deal? If I’m such a bully why do I have lots of friends?  Nobody likes him.  They are happy I put him in his place.,You don’t see yourself as someone who bullies others. A real bully wouldn’t have as many friends as you have.,University of Michigan Pair Dataset (HQ1)
148,I only sent it once. I know I shouldn’t have sent it but it’s not like I’m bashing him up.  He chose to be gay.  People should know.  That isn’t my problem.  It’s his.,"On one hand, you kind of feel like it was your duty to forward the picture so that everyone would know about him. But, on the other hand you know that it was wrong and that you shouldn’t have sent it.",University of Michigan Pair Dataset (HQ1)
149,"He knows that’s where we sit at lunch time. If he walks through he knows that I’m going to get him. He can walk around us. I don’t mean to really hurt him. I don’t know what else to do, he really annoys me.  I just have anger issues. And he pisses me off.","If he walked a different route through the lunch room, you’d be able to control yourself and wouldn’t hurt him.",University of Michigan Pair Dataset (HQ1)
150,I just say what everyone else is thinking. There’s nothing wrong with it. Everyone else does it. No one has died from it. It’s just fun.,"If someone had died, you might feel differently about how you speak about people. ",University of Michigan Pair Dataset (HQ1)
151,"Sure, iqmik probably isn’t good for me but it’s better than inhaling all that smoke and nasty stuff.","When compared to some of the other things you could be using, iqmik really isn’t that bad.",University of Michigan Pair Dataset (HQ1)
152,"I switched from cigarettes to iqmik to protect my baby, now you are telling me it is still bad. It’s the lessor of two evils if you ask me.",You’re feeling confused. You thought you were making a healthy choice switching from cigarettes to iqmik but now you’re finding out that iqmik can hurt your baby too so you’re not quite sure what to do.,University of Michigan Pair Dataset (HQ1)
153,At least iqmik doesn’t stink like cigarettes.,Iqmik feels like a better choice because you don’t have to deal with the smell.,University of Michigan Pair Dataset (HQ1)
154,"People don’t judge you for iqmik like they do for smoking.  Plus, I can hide it from people and they don’t even know.",You feel judgement and shame because of your nicotine habit.,University of Michigan Pair Dataset (HQ1)
155,In our culture tobacco can be healthy. It helps cope with stress and is so much better than alcohol.,Tobacco feels like a healthier choice than some of the other things you could turn to to cope.,University of Michigan Pair Dataset (HQ1)
156,I switched from smoking tobacco to chewing it because it is better for you.,"You like the idea of making decisions based on what’s best for your health. Since chewing tobacco is better for you, it makes more sense than smoking. ",University of Michigan Pair Dataset (HQ1)
157,"I was upset to hear iqmik puts nicotine in breast milk, that is scary.",It’s a bit distressing to learn that the nicotine in iqmik is passed to your baby through your breastmilk.,University of Michigan Pair Dataset (HQ1)
158,I am under a lot of stress. The chew helps me get through the day.  I am raising three kids and now have another on the way.  How am I going to pay for all of this.  My husband lost his job last year.,"Your plate is overflowing. Along with 3 kids and a baby on the way, you’re also responsible for the family finances. ",University of Michigan Pair Dataset (HQ1)
159,Our chew is more natural than that stuff you buy in the store.  At least I know where it comes from.  No artificial chemicals.,"Finding a natural, chemical free way to decompress is important to you. ",University of Michigan Pair Dataset (HQ1)
160,"I was told by grandmother that tobacco helps the pregnancy, get you through the rough patches.",Finding a way to get through the struggles of pregnancy is something that you’d find helpful.,University of Michigan Pair Dataset (HQ1)
161,"I guess if I knew it was bad for my baby then maybe I would consider quitting, but what else can I do about all the stress.",Staying away from things that could harm your baby is important to you.,University of Michigan Pair Dataset (HQ1)
162,It does waste a lot of money and my friends keep bugging me to quit.,You’re starting to see some of the reasons why quitting might be a good idea.,University of Michigan Pair Dataset (HQ1)
163,"I heard it may be addictive, that worries me. But then that means I may have withdrawal symptoms when I quit. Damned if you do and damned if you don’t.","You are torn. On one hand you're a bit worried about potential withdrawl systems if you choose to try quitting. But, on the other hand, you know that smoking is addictive and you're worried about what that mean for your long term health. ",University of Michigan Pair Dataset (HQ1)
164,"I heard the blended, ground up bull is the worst, most addictive. I stay away from that.",Staying away from the most harmful bull is a decision that you make for your health.,University of Michigan Pair Dataset (HQ1)
165,"I iqmik before I have to do something creative, helps me focus.",You’ve found that iqmik can be helpful in keeping you on task.,University of Michigan Pair Dataset (HQ1)
166,I’m scared of withdrawal if I quit iqmik. I heard it makes you really moody and stressed out.  That can’t be good for my baby.,You’re fearful that the mood swings that can go along with quitting could have a negative impact on your baby.,University of Michigan Pair Dataset (HQ1)
167,I heard that if you eat grapefruit after a meal it burns the fat off in your stomach.,"You’ve heard that eating grapefruit after a meal help burn up the fat and you are wondering, maybe hoping, that’s true.",University of Michigan Pair Dataset (HQ1)
168,I heard that you have to eliminate all carbs in order to lose weight. That would be great if it weren’t true.,You are looking for ways to lose weight that work for you but you are hoping not to have to make drastic changes to your carb intake.,University of Michigan Pair Dataset (HQ1)
169,I heard from my friend that you can get the COVID from the vaccine.,You feel confused about the efficacy or benefits of the vaccine. It makes you question whether or not getting the vaccine is the right choice for you.,University of Michigan Pair Dataset (HQ1)
170,I heard from my cousin that the COVID vaccine makes you sterile.,"You are concerned about some of the side effects of the CV vaccine, especially since you've heard it may impact your ability to have children.",University of Michigan Pair Dataset (HQ1)
171,I heard that if you have diabetes you can’t eat fruit. That’s what my cousin says….Is that true?,You're concerned that having diabetes might have an impact on whether or not you can have fruit.,University of Michigan Pair Dataset (HQ1)
172,Since starting this diuretic medication I am peeing all the time.  I’m worried something’s wrong. Is this normal?,"You've found that the new medication causes you to pee more than usual, which is causing some concern. ",University of Michigan Pair Dataset (HQ1)
173,I am getting worried that I have not lost any weight in the past two months.  I’m wondering if maybe my metabolism has slowed.  I’m happy I lost the 15 pounds but now it seems that I can’t lose anymore. I am eating really healthy and exercising.,You're really proud of yourself for the weight that you've already lost but starting to feel frustrated that the scale hasn't moved in a while.,University of Michigan Pair Dataset (HQ1)
174,My mom said that I can’t eat anything after dinner  (which is around 5pm) because all that food goes right to your thighs.,Your mom has a lot of rules about food that she's passed on to you. You're questioning whether or not these rules are actually true.,University of Michigan Pair Dataset (HQ1)
175,You have to put solids in her bottle right away so she can sleep better.,"It's important to you to be the best parent you can be, and part of that means making sure your child gets enough sleep. ",University of Michigan Pair Dataset (HQ1)
176,My daughter is so overweight. I think we should get her that stomach surgery.,You're starting to think of ways that you may be able to help your daughter lose some weight.,University of Michigan Pair Dataset (HQ1)
177,With giving up salt I’m peeing all the time. Can’t be too far from a bathroom or I start to worry. I wonder if this is normal.,All the trips to the bathroom have begun to interfere with your ability to carry out your life.,University of Michigan Pair Dataset (HQ1)
178,"I’d always had a lot of energy, but now with this heart failure thing I can’t do anything. I tried to go Christmas shopping, but by the time I’d gone about a block, I was so tired that my husband took me home and I went back to bed.","CHF has taken away your energy and your freedom. It has gotten in the way of getting your stuff done, and that has gotten you down.",University of Michigan Pair Dataset (HQ1)
179,"I put off household tasks to conserve energy.  Our house has two levels, so if anyone came over, they would have to go upstairs for me to get my things, and that felt terrible.  Eventually, I got so bad I couldn't walk across the room without being out of breath. I spent a lot of time in denial over being in heart failure.  I have to rest more often than I like and can't stay up as long as I like.",You’re adjusting to your new normal and it hasn't been easy.,University of Michigan Pair Dataset (HQ1)
180,"Every morning I go to the scale and think what’s it going to be today?  Up 2 lbs, up 4? Am I holding water again. Some days I have to wear sweatpants because I feel so bloated and uncomfortable.",You dread getting on the scale. It makes you feel out of control.,University of Michigan Pair Dataset (HQ1)
181,"I also have “pins and needles” in one foot and it's very annoying. I'm wondering if I will have it from now on – I find that it’s better if I move regularly, but it still drives me crazy.",You question what life will look like moving forward. You're concerned that these new symtpoms might be here to stay.,University of Michigan Pair Dataset (HQ1)
182,I’m having a real problem with dizziness.  Sometimes I know it’s from standing up quickly….so I have to sit down or I can be walking down the hallway and have to suddenly grab the wall for support.  I don’t really trust myself to go up the stairs – I’m too afraid of falling.,Your symptom of dizziness has gotten so bad that you're terrified you might take a tumble down the stairs.,University of Michigan Pair Dataset (HQ1)
183,"Since heart failure hammered me in 1994, I had never managed to sustain a regular exercise routine.  I know I need to do it but I cannot get any regular routine established.","You'd really like to figure out a way to get a regular exericse routine in place. If you could figure out a way to get a routine in place, it might help you get started. ",University of Michigan Pair Dataset (HQ1)
184,"It really scares me when I have to drive somewhere; I always have to give myself lots of extra time, and even then I am so worried about hurting myself or someone else if I get into an accident.",You're freaked out by driving and realize that you could end up hurting someone.,University of Michigan Pair Dataset (HQ1)
185,"Well, this heart thing has really affected what I eat.  I’ve had to cut out salt or what they call sodium. That’s been really hard. I like cheese, salami, lox, bacon and all that yummy stuff.  It seems that sodium is lurking everywhere .",You've really been trying to cut back on foods that are high in sodium.,University of Michigan Pair Dataset (HQ1)
186,"I used to walk to the park with my nephews, but now I avoid walking more than a block because of the cramping  in my right calf.  I miss spending time with them. But I’m worried that the pain will make my leg worse. Is that true? ",You've found that you're having to cut back on some of your faovirte things because of pain. You wish that things were different.,University of Michigan Pair Dataset (HQ1)
187,"My brother, also a smoker, has undergone an amputation and I am concerned about losing my right foot/leg.  Other than the risk for amputation, I know very little about poor leg circulation and I am concerned that my lack of knowledge will hurt me.  I have never heard about walking as a way to help my PAD.  I really don’t want to lose my leg.",Your brother's recent amputation really has you examining your own health. You're willing to do whatever it takes so that you don't end up in the same situation.,University of Michigan Pair Dataset (HQ1)
188,"I’m overwhelmed trying to understand how to manage my poor leg circulation along with my diabetes, smoking, and hypertension.  Smoking relaxes me and helps me cope with my stress.  I also keep my grandchildren four days each week that is exhausting.  I feel  isolated because it is difficult to leave my home due to the cramping; the distance I can walk is decreasing.  I really want to get out of my home and spend time with my grandchildren.","If there was something you could do to manage your health and stay active so that you could get out of the house and spend time with your grandkids, you might be willing to give it a try. ",University of Michigan Pair Dataset (HQ1)
189,"Initially, I thought that my PAD wasn’t that bad. Asymptomatic as they call it; however, I realized I had begun to reduce my walking speed to prevent pain, so I guess it is worse than I thought.  Limiting my mobility and keeping my disease to myself has been a stress on me and my family.  I want to tell my family.  I think that with the support of my family I can begin walking."," While you thought for a long time that your PAD wasn't that bad, you're slowly starting to realize that it's definitely taken a toll on you and your ability to get around. ",University of Michigan Pair Dataset (HQ1)
190,"I’m angry about having this PAD. I don’t know where it came from.  I want to walk, but can’t push through the pain. I have tried a walking club at my church, but everyone walks a lot farther and the pain was just too much to bear.  I’m looking for information and direction about how to start.","You're looking for more information on how you can get more physical activity, which will hopefully help with the dibilitating pain you've been experiencing.  ",University of Michigan Pair Dataset (HQ1)
191,"I ‘m feeling discouraged but I know that I have to do something because I cannot walk one block without cramping in my calf.  I have classic claudication where the cramping always comes on at the same distance.  I don’t drive and have always relied on my son to take me to the store, but I feel like I’m inconveniencing him too much.  I would like to be able to walk two blocks to the bus stop.  I don’t understand how a walking program can be helpful, but one of my doctors mentioned walking as a way to treat this poor circulation.  I may be willing to give it a try.",You're at a point where you have to do something. You need to be able to get around but also don't want to have to continue to rely on your son to drive you. You're thinking that starting a program might be a way to help you make it to the bus stop.,University of Michigan Pair Dataset (HQ1)
192,"I hate exercising, but I don’t t want this PAD to get worse. I don’t want to lose my legs. I used to walk a bit a while back but I was a lot younger back then. ","You know that you need to get started with something, but you're worried you might not have it in you because you're not as young as you used to be. ",University of Michigan Pair Dataset (HQ1)
193,Walking down that long hallway is hard.  I’m scared of falling and not being able to get up and make it to the bedroom.  I feel like a prisoner in my own house.,It's frustrating feeling trapped in your own home because of your mobility issues.,University of Michigan Pair Dataset (HQ1)
194,My  legs are heavy and numb. I’m worried I’ll slip and fall walking on the icy sidewalks and driveways in Wichita.  I really need to get back in shape.,You're scared that you could take a bad fall on an icy sidewalk.,University of Michigan Pair Dataset (HQ1)
195,A close friend of mine just died of a heart attack while walking in the grocery store.  She was a heavy smoker and overweight.  I want to quit but don’t know how. I want to lose weight. I want to strengthen my lungs but I heard with PAD you cannot walk.,Your friend's death has you thinking about your own mortality. You're thinking that now might be a good time to start coming up with a plan for losing weight and quitting smoking.,University of Michigan Pair Dataset (HQ1)
196,I need to exercise more but I’m worried that if I start to exercise it will bring on those hypoglycemic episodes.,You're starting to think about what regular exercise might look like in your life.,University of Michigan Pair Dataset (HQ1)
197,"In our culture breast milk isn't enough to feed the baby, she won’t sleep unless I give her supplements and some real food.",You want what’s best for your baby. You believe that food will help your baby grow best.,University of Michigan Pair Dataset (HQ1)
198,"It’s just baby fat, she’ll grow out of it.","At this point, you are not really worried about her weight. While you do see she is a bit heavier than other children, having some baby fat seems normal.",University of Michigan Pair Dataset (HQ1)
199,Can I? I  heard teenagers can’t breastfeed.,"It sounds like you are interested in breastfeeding your baby, but you are not sure it is ok for teen moms.",University of Michigan Pair Dataset (HQ1)
200,"Moms should stop breastfeeding around 6 months, because breast milk is not good any longer.",You feel that your body cannot produce good milk after six months.,University of Michigan Pair Dataset (HQ1)
201,"I will start supplementing with formula, soon after delivery, because colostrum is not enough to satisfy a baby. I  won’t start breastfeeding until my milk comes in.",You want to make sure your baby gets enough food and you're worried that colostrum isn’t enough food for your baby.,University of Michigan Pair Dataset (HQ1)
202,"The milk from the first few days is nasty, its dirty milk so I use a bottle for the first week until the clean milk comes in.","You are committed to breast feeding, you are just worried the first week’s milk is lower quality. ",University of Michigan Pair Dataset (HQ1)
203,"My mother said that even though women from my country breastfeed, I am now in America, and I should try to fit in by bottle feeding.  Besides, I have very small breasts and probably wouldn’t be able to make any milk.  Since I want to go to college in a few months, breastfeeding seems like it would be too hard, and not worth the effort.",Your mom is discouraging from breastfeeding because she wants you to fit in. You are also planning to head to college so breastfeeding might be too hard right now.,University of Michigan Pair Dataset (HQ1)
204,"I pump it and throw it out, my mom told me because I had sore nipples that my milk wasn't any good.",You're experiencing a lot of pain and sore nipples when you pump and you're worried that your milk isn't any good because of it.,University of Michigan Pair Dataset (HQ1)
205,"If I sign up to be an organ donor and I’m in a life-threatening situation, doctors won’t give me the best care. They won’t try as hard to save my life.",You're worried that doctors won't do everything they can to save you in a life threatening situation if you're an organ donor.,University of Michigan Pair Dataset (HQ1)
206,I know it’s probably the right thing to do but I’m just not sure I am comfortable with the idea of someone cutting me up after I pass.,"You understand the value of organ donation. Ideally, you'd like to donate your organs but you get a little squeamish when you think about it. ",University of Michigan Pair Dataset (HQ1)
207,"I’ve thought about it but don’t know if it’s for me.  I guess God would want you to help out someone in need, but it’s not exactly mentioned in the bible that we should do it.","If organ donation was discussed in the bible and you knew that God wanted you to do it, you'd definitely agree to it. ",University of Michigan Pair Dataset (HQ1)
208,You know how they treat us. They are just going to give our organs to some rich white folks. You can’t trust the medical system. Look at what they did down at Tuskegee.,"If there was a way to guarantee that someone who really could benefit from your organs would receive them, and not just another rich white person, you might consider organ donation. ",University of Michigan Pair Dataset (HQ1)
209,Why should I give my organs so I can save some white person’s life?,You'd rather your organs go to waste than save some white person's life.,University of Michigan Pair Dataset (HQ1)
210,"Giving up Meth has been the hardest thing in my life. I have tried many, many times but the urge keeps coming back. I just think it controls me. It’s a F?&*ing demon. Maybe I just have to learn to live with the fact that I am an addict.","You’ve tried to stop and on some level you would like to give it up, but the fact that you keep coming back to it is making you start to fear you won’t ever be able to.",University of Michigan Pair Dataset (HQ1)
211,"A few lines of Coke and anonymous club sex, these are a few of my favorite things!",You're completely happy with your extracurricular activities of choice and see absolutely no reason to make any changes.,University of Michigan Pair Dataset (HQ1)
212,"After I sleep with a guy a few times and he keeps telling me he is clean I usually let him go bareback. That’s what everyone wants these days, it ain’t like the old days when everyone was all paranoid. Guess I am too trusting, too whimpy.",You feel that you are too easily persuaded to not use a condom and that maybe you should be more assertive about being safe.,University of Michigan Pair Dataset (HQ1)
213,I am sorry but I am not going to wear a condom. I know how to be safe.  I am not taking a shower with a rain coat on. What’s the point if you cannot feel anything.,"When you think about the risks of unprotected sex and the benefits of the better experience without the condom, you'd much prefer to take on the risk. ",University of Michigan Pair Dataset (HQ1)
214,"Of course, I SHOULD be safer but in the heat of the moment that’s the last thing on my mind.","You know you should be using protection, but it’s hard to remember that in the momenmt when things get all worked up.",University of Michigan Pair Dataset (HQ1)
215,I don’t have a drinking problem. I drink less than a lot of my friends. My dad is an alcoholic and I know what an alcoholic looks like.,At this point you’re not concerned about the amount of alcohol that you’re drinking. It feels minimal compared to your friends and your dad.,University of Michigan Pair Dataset (HQ1)
216,What I like to do for fun is hang out with my friends and party. Nothing bad has happened except a car accident and everyone was ok.,You’d only be concerned about your partying if an accident happened where everyone wasn’t ok.,University of Michigan Pair Dataset (HQ1)
217,"I can control my drinking, I only drink on weekends and maybe once a week. I never drive wasted, I don’t do anything stupid. It is not like I’ve raped anyone.",You put substantial effort into making sure you're really only drinking on weekends with just one or two drinks during the week. You're committed to not getting behind the wheel drunk or doing anything dangerous to yourself or others.,University of Michigan Pair Dataset (HQ1)
218,"Everyone I know smokes pot, I don’t even smoke as much as my friends.  ","As this point your smoking is pretty minimal and isn’t having much, if any, impact on your life. ",University of Michigan Pair Dataset (HQ1)
219,This is total bulls@#t. I might get kicked off the football team because I got caught with a friggin’  dime bag of weed. I could lose my scholarship. Everyone smokes and I just got unlucky getting caught.,"It feels unfair that of everyone who smokes, you’re the one who got caught and may have to deal with the consequences.",University of Michigan Pair Dataset (HQ1)
220,"Have you ever tried to have anal sex with a condom? Maybe it works with one of those vaginas but with what we do, forget it.",Using a condom feels pretty much impossible for you. There’s really no way you could make it work.,University of Michigan Pair Dataset (HQ1)
221,"If a buff guy wants to go bareback, it is really hard to say no to that. I don’t get that many model types, and I don’t want to blow it.",You fear that you might be rejected if you try to be clear about your boundaries and need for protection.,University of Michigan Pair Dataset (HQ1)
222,"I am willing to give condoms a try but my partner sabotages us. He tells me I am just neurotic and we are both negative and monogamous, so there is no point. Truth is I don’t know how I can tell him that I have fooled around with other guys. It’s tearing me up. He is so faithful. He is so good to me.","You wish that things were different and that you were using condoms regularly. If it was just up to you, you'd use them regularly. ",University of Michigan Pair Dataset (HQ1)
